Date,City,PM2.5,PM10,NO2,AQI
2020-03-19,Delhi,5.0,23.16,32.27,8.0
2020-03-20,Delhi,5.0,13.07,31.84,8.0
2020-03-21,Delhi,18.62,10.0,34.3,28.0
2020-03-22,Delhi,17.82,10.0,40.43,27.0
2020-03-23,Delhi,5.0,10.0,34.59,8.0
2020-03-24,Delhi,5.0,28.04,31.03,8.0
2020-03-25,Delhi,10.63,10.0,36.58,16.0
2020-03-26,Delhi,19.81,10.0,39.84,30.0
2020-03-27,Delhi,14.08,18.62,30.98,21.0
2020-03-28,Delhi,8.55,26.92,34.74,13.0
2020-03-29,Delhi,12.83,10.0,25.89,19.0
2020-03-30,Delhi,14.28,35.74,34.98,21.0
2020-03-31,Delhi,5.0,22.76,32.51,8.0
2020-04-01,Delhi,12.34,17.13,35.64,19.0
2020-04-02,Delhi,7.64,29.31,32.15,11.0
2020-04-03,Delhi,5.0,10.0,32.14,8.0
2020-04-04,Delhi,20.75,17.07,33.19,31.0
2020-04-05,Delhi,5.0,10.0,33.39,8.0
2020-04-06,Delhi,20.53,10.0,35.62,31.0
2020-04-07,Delhi,6.57,10.97,35.1,10.0
2020-04-08,Delhi,5.0,10.0,38.07,8.0
2020-04-09,Delhi,9.07,10.0,36.3,14.0
2020-04-10,Delhi,5.0,10.0,24.87,8.0
2020-04-11,Delhi,11.18,18.32,25.59,17.0
2020-04-12,Delhi,5.0,10.0,28.86,8.0
2020-04-13,Delhi,20.06,10.0,32.56,30.0
2020-04-14,Delhi,5.0,10.0,27.91,8.0
2020-04-15,Delhi,26.66,10.0,27.78,40.0
2020-04-16,Delhi,10.12,10.0,30.95,15.0
2020-04-17,Delhi,5.0,10.0,32.46,8.0
2020-04-18,Delhi,5.0,17.39,27.75,8.0
2020-04-19,Delhi,5.0,10.0,28.49,8.0
2020-04-20,Delhi,21.77,10.0,29.18,33.0
2020-04-21,Delhi,19.83,10.0,23.37,30.0
2020-04-22,Delhi,5.0,10.0,32.77,8.0
2020-04-23,Delhi,5.0,15.38,28.21,8.0
2020-04-24,Delhi,5.0,10.0,33.14,8.0
2020-04-25,Delhi,5.0,10.0,29.9,8.0
2020-04-26,Delhi,5.0,23.59,32.43,8.0
2020-04-27,Delhi,14.56,10.0,29.33,22.0
2020-04-28,Delhi,5.84,10.0,31.88,9.0
2020-04-29,Delhi,7.21,10.0,32.97,11.0
2020-04-30,Delhi,5.0,10.0,34.65,8.0
2020-05-01,Delhi,5.0,10.0,27.01,8.0
2020-05-02,Delhi,5.0,10.0,25.15,8.0
2020-05-03,Delhi,5.0,10.0,39.29,8.0
2020-05-04,Delhi,5.92,10.0,26.08,9.0
2020-05-05,Delhi,5.0,10.0,39.05,8.0
2020-05-06,Delhi,6.19,17.39,37.33,9.0
2020-05-07,Delhi,15.65,10.0,27.11,23.0
2020-05-08,Delhi,5.0,19.92,22.55,8.0
2020-05-09,Delhi,12.67,10.0,22.2,19.0
2020-05-10,Delhi,5.0,10.0,29.0,8.0
2020-05-11,Delhi,5.0,10.0,37.3,8.0
2020-05-12,Delhi,5.0,18.44,22.45,8.0
2020-05-13,Delhi,5.0,10.0,27.55,8.0
2020-05-14,Delhi,5.0,12.71,28.8,8.0
2020-05-15,Delhi,5.0,10.0,14.81,8.0
2020-05-16,Delhi,5.0,10.0,31.97,8.0
2020-05-17,Delhi,5.0,10.0,24.76,8.0
2020-05-18,Delhi,5.0,10.0,36.25,8.0
2020-05-19,Delhi,5.0,10.0,29.44,8.0
2020-05-20,Delhi,5.0,10.0,29.39,8.0
2020-05-21,Delhi,5.0,10.0,26.5,8.0
2020-05-22,Delhi,7.78,10.0,31.04,12.0
2020-05-23,Delhi,5.0,10.0,30.26,8.0
2020-05-24,Delhi,5.0,10.0,23.24,8.0
2020-05-25,Delhi,5.0,10.0,22.96,8.0
2020-05-26,Delhi,5.0,10.0,25.19,8.0
2020-05-27,Delhi,7.54,10.0,25.12,11.0
2020-05-28,Delhi,5.0,10.0,26.64,8.0
2020-05-29,Delhi,5.0,10.0,30.17,8.0
2020-05-30,Delhi,5.0,10.0,24.52,8.0
2020-05-31,Delhi,5.0,10.0,28.55,8.0
2020-06-01,Delhi,5.0,10.0,25.45,8.0
2020-06-02,Delhi,5.0,10.0,28.26,8.0
2020-06-03,Delhi,5.69,10.0,26.7,9.0
2020-06-04,Delhi,5.0,10.0,25.14,8.0
2020-06-05,Delhi,5.0,10.0,16.45,8.0
2020-06-06,Delhi,5.0,10.0,28.87,8.0
2020-06-07,Delhi,5.0,10.0,26.28,8.0
2020-06-08,Delhi,5.0,10.0,26.32,8.0
2020-06-09,Delhi,5.0,10.0,27.21,8.0
2020-06-10,Delhi,5.0,10.0,18.97,8.0
2020-06-11,Delhi,5.0,10.0,25.07,8.0
2020-06-12,Delhi,5.0,10.0,28.11,8.0
2020-06-13,Delhi,5.0,10.0,20.66,8.0
2020-06-14,Delhi,5.0,10.0,27.73,8.0
2020-06-15,Delhi,5.0,10.0,20.54,8.0
2020-06-16,Delhi,5.0,10.0,26.08,8.0
2020-06-17,Delhi,5.0,10.38,29.95,8.0
2020-06-18,Delhi,5.0,10.0,26.9,8.0
2020-06-19,Delhi,5.0,10.0,34.84,8.0
2020-06-20,Delhi,5.0,10.0,35.71,8.0
2020-06-21,Delhi,5.0,23.27,29.71,8.0
2020-06-22,Delhi,5.0,10.0,26.08,8.0
2020-06-23,Delhi,5.0,10.0,23.7,8.0
2020-06-24,Delhi,5.0,10.0,30.82,8.0
2020-06-25,Delhi,5.0,10.0,23.54,8.0
2020-06-26,Delhi,5.0,10.0,25.6,8.0
2020-06-27,Delhi,5.0,10.0,27.5,8.0
2020-06-28,Delhi,5.0,10.0,27.27,8.0
2020-06-29,Delhi,5.0,10.0,27.96,8.0
2020-06-30,Delhi,5.0,10.0,25.64,8.0
2020-07-01,Delhi,5.0,10.0,24.11,8.0
2020-07-02,Delhi,5.0,10.0,24.73,8.0
2020-07-03,Delhi,5.0,10.0,24.42,8.0
2020-07-04,Delhi,5.0,10.0,21.78,8.0
2020-07-05,Delhi,5.0,13.65,18.21,8.0
2020-07-06,Delhi,5.0,10.0,32.5,8.0
2020-07-07,Delhi,5.0,18.34,32.91,8.0
2020-07-08,Delhi,5.0,10.0,23.81,8.0
2020-07-09,Delhi,5.0,10.0,26.19,8.0
2020-07-10,Delhi,5.0,17.74,28.71,8.0
2020-07-11,Delhi,5.0,10.0,14.29,8.0
2020-07-12,Delhi,5.0,10.0,12.0,8.0
2020-07-13,Delhi,5.0,10.0,17.87,8.0
2020-07-14,Delhi,5.0,10.0,17.92,8.0
2020-07-15,Delhi,5.0,20.04,26.26,8.0
2020-07-16,Delhi,5.0,10.0,22.72,8.0
2020-07-17,Delhi,5.0,10.0,33.9,8.0
2020-07-18,Delhi,5.0,10.0,14.23,8.0
2020-07-19,Delhi,5.0,10.0,31.03,8.0
2020-07-20,Delhi,5.0,10.0,30.54,8.0
2020-07-21,Delhi,5.0,10.0,31.74,8.0
2020-07-22,Delhi,5.0,10.0,31.29,8.0
2020-07-23,Delhi,5.0,10.0,29.38,8.0
2020-07-24,Delhi,5.0,10.0,31.76,8.0
2020-07-25,Delhi,5.0,10.0,29.46,8.0
2020-07-26,Delhi,5.0,10.0,18.01,8.0
2020-07-27,Delhi,5.0,10.0,31.07,8.0
2020-07-28,Delhi,9.07,10.0,42.49,14.0
2020-07-29,Delhi,5.0,10.0,20.46,8.0
2020-07-30,Delhi,5.0,10.0,28.86,8.0
2020-07-31,Delhi,5.0,10.0,34.19,8.0
2020-08-01,Delhi,5.0,10.0,32.76,8.0
2020-08-02,Delhi,5.0,10.0,27.03,8.0
2020-08-03,Delhi,5.0,10.0,27.96,8.0
2020-08-04,Delhi,5.0,10.0,27.46,8.0
2020-08-05,Delhi,5.0,10.0,29.21,8.0
2020-08-06,Delhi,5.0,10.0,31.07,8.0
2020-08-07,Delhi,5.0,10.0,30.74,8.0
2020-08-08,Delhi,5.0,10.0,27.77,8.0
2020-08-09,Delhi,5.0,10.0,23.37,8.0
2020-08-10,Delhi,5.0,10.0,33.0,8.0
2020-08-11,Delhi,6.92,10.0,30.23,10.0
2020-08-12,Delhi,5.0,10.0,29.31,8.0
2020-08-13,Delhi,5.0,10.0,24.74,8.0
2020-08-14,Delhi,5.0,10.0,33.48,8.0
2020-08-15,Delhi,5.0,10.0,34.74,8.0
2020-08-16,Delhi,6.43,10.0,28.92,10.0
2020-08-17,Delhi,5.0,10.0,25.99,8.0
2020-08-18,Delhi,13.29,12.98,29.11,20.0
2020-08-19,Delhi,5.0,17.76,38.19,8.0
2020-08-20,Delhi,5.0,10.0,34.81,8.0
2020-08-21,Delhi,9.01,10.0,30.75,14.0
2020-08-22,Delhi,5.0,10.0,30.89,8.0
2020-08-23,Delhi,10.77,10.0,35.08,16.0
2020-08-24,Delhi,5.0,10.0,35.5,8.0
2020-08-25,Delhi,5.0,10.0,28.7,8.0
2020-08-26,Delhi,5.0,27.24,26.79,8.0
2020-08-27,Delhi,5.0,10.0,30.58,8.0
2020-08-28,Delhi,5.0,10.0,33.12,8.0
2020-08-29,Delhi,5.0,10.0,31.39,8.0
2020-08-30,Delhi,5.0,10.0,22.67,8.0
2020-08-31,Delhi,5.0,10.0,34.13,8.0
2020-09-01,Delhi,5.0,10.0,23.95,8.0
2020-09-02,Delhi,5.0,13.64,22.3,8.0
2020-09-03,Delhi,11.86,13.78,24.82,18.0
2020-09-04,Delhi,5.0,10.0,31.33,8.0
2020-09-05,Delhi,5.0,10.0,30.93,8.0
2020-09-06,Delhi,5.0,10.0,31.41,8.0
2020-09-07,Delhi,5.0,10.0,32.9,8.0
2020-09-08,Delhi,15.09,10.0,34.92,23.0
2020-09-09,Delhi,5.0,21.62,30.68,8.0
2020-09-10,Delhi,5.0,22.75,32.92,8.0
2020-09-11,Delhi,12.73,10.0,25.51,19.0
2020-09-12,Delhi,5.0,12.46,32.53,8.0
2020-09-13,Delhi,5.0,13.52,33.78,8.0
2020-09-14,Delhi,5.0,10.0,24.64,8.0
2020-09-15,Delhi,5.0,10.0,30.97,8.0
2020-09-16,Delhi,5.0,37.67,33.7,8.0
2020-09-17,Delhi,5.0,25.4,35.63,8.0
2020-09-18,Delhi,11.62,10.0,25.81,17.0
2020-09-19,Delhi,5.0,16.57,27.0,8.0
2020-09-20,Delhi,5.0,10.0,30.76,8.0
2020-09-21,Delhi,8.12,10.0,41.54,12.0
2020-09-22,Delhi,5.0,10.0,36.1,8.0
2020-09-23,Delhi,5.0,26.9,24.78,8.0
2020-09-24,Delhi,5.0,21.06,32.88,8.0
2020-09-25,Delhi,5.0,18.68,34.08,8.0
2020-09-26,Delhi,9.61,25.13,45.63,14.0
2020-09-27,Delhi,5.0,10.0,28.73,8.0
2020-09-28,Delhi,5.0,63.96,27.72,8.0
2020-09-29,Delhi,5.0,34.86,28.73,8.0
2020-09-30,Delhi,5.0,32.94,32.09,8.0
2020-10-01,Delhi,8.01,10.0,31.31,12.0
2020-10-02,Delhi,21.76,25.59,33.54,33.0
2020-10-03,Delhi,12.6,43.03,31.47,19.0
2020-10-04,Delhi,14.09,25.91,28.87,21.0
2020-10-05,Delhi,21.94,24.3,38.55,33.0
2020-10-06,Delhi,5.0,16.43,32.88,8.0
2020-10-07,Delhi,37.92,17.05,31.46,57.0
2020-10-08,Delhi,9.31,24.07,34.75,14.0
2020-10-09,Delhi,12.4,55.72,26.81,19.0
2020-10-10,Delhi,5.0,52.66,19.32,8.0
2020-10-11,Delhi,9.05,24.76,27.16,14.0
2020-10-12,Delhi,5.0,15.59,25.72,8.0
2020-10-13,Delhi,14.15,10.0,30.75,21.0
2020-10-14,Delhi,5.0,25.74,32.5,8.0
2020-10-15,Delhi,7.44,43.13,29.32,11.0
2020-10-16,Delhi,5.0,18.74,29.61,8.0
2020-10-17,Delhi,10.22,10.0,34.25,15.0
2020-10-18,Delhi,12.3,31.41,31.29,18.0
2020-10-19,Delhi,6.96,34.83,32.28,10.0
2020-10-20,Delhi,9.87,33.12,32.82,15.0
2020-10-21,Delhi,13.24,38.32,28.25,20.0
2020-10-22,Delhi,18.97,24.52,33.14,28.0
2020-10-23,Delhi,15.54,35.08,29.16,23.0
2020-10-24,Delhi,10.07,10.0,40.47,15.0
2020-10-25,Delhi,13.34,36.63,29.25,20.0
2020-10-26,Delhi,33.64,10.0,32.5,50.0
2020-10-27,Delhi,13.56,24.26,38.56,20.0
2020-10-28,Delhi,11.13,22.04,30.47,17.0
2020-10-29,Delhi,6.45,17.72,34.13,10.0
2020-10-30,Delhi,16.69,19.03,40.51,25.0
2020-10-31,Delhi,5.0,44.69,33.08,8.0
2020-11-01,Delhi,22.19,23.71,36.25,33.0
2020-11-02,Delhi,15.09,26.68,24.44,23.0
2020-11-03,Delhi,21.23,21.99,40.17,32.0
2020-11-04,Delhi,19.14,24.45,27.54,29.0
2020-11-05,Delhi,28.83,15.55,42.73,43.0
2020-11-06,Delhi,5.0,38.16,33.74,8.0
2020-11-07,Delhi,13.25,10.0,33.12,20.0
2020-11-08,Delhi,5.0,23.42,35.66,8.0
2020-11-09,Delhi,13.31,59.04,42.19,20.0
2020-11-10,Delhi,16.44,31.49,24.4,25.0
2020-11-11,Delhi,9.49,36.13,30.63,14.0
2020-11-12,Delhi,14.6,36.65,34.55,22.0
2020-11-13,Delhi,11.79,10.0,32.19,18.0
2020-11-14,Delhi,23.04,12.65,31.74,35.0
2020-11-15,Delhi,26.95,46.47,32.93,40.0
2020-11-16,Delhi,6.36,49.81,31.69,10.0
2020-11-17,Delhi,15.29,31.24,30.97,23.0
2020-11-18,Delhi,20.94,32.58,32.25,31.0
2020-11-19,Delhi,8.71,40.78,31.58,13.0
2020-11-20,Delhi,17.95,28.02,37.87,27.0
2020-11-21,Delhi,25.03,20.85,36.47,38.0
2020-11-22,Delhi,22.55,42.57,32.43,34.0
2020-11-23,Delhi,8.52,63.61,26.85,13.0
2020-11-24,Delhi,17.3,33.67,40.66,26.0
2020-11-25,Delhi,17.68,41.92,28.61,27.0
2020-11-26,Delhi,24.88,14.6,28.22,37.0
2020-11-27,Delhi,21.84,38.32,23.0,33.0
2020-11-28,Delhi,14.26,37.32,33.66,21.0
2020-11-29,Delhi,27.39,22.86,32.67,41.0
2020-11-30,Delhi,22.52,40.4,30.29,34.0
2020-12-01,Delhi,7.75,25.12,31.77,12.0
2020-12-02,Delhi,17.25,41.63,26.67,26.0
2020-12-03,Delhi,29.32,22.49,31.9,44.0
2020-12-04,Delhi,14.39,37.41,37.85,22.0
2020-12-05,Delhi,21.71,10.07,39.52,33.0
2020-12-06,Delhi,25.76,22.11,37.15,39.0
2020-12-07,Delhi,9.45,34.52,31.66,14.0
2020-12-08,Delhi,20.9,15.77,34.64,31.0
2020-12-09,Delhi,32.57,62.59,33.0,49.0
2020-12-10,Delhi,5.0,26.62,32.41,8.0
2020-12-11,Delhi,18.02,27.74,33.48,27.0
2020-12-12,Delhi,15.28,29.12,43.09,23.0
2020-12-13,Delhi,23.07,39.28,40.64,35.0
2020-12-14,Delhi,13.8,35.87,32.55,21.0
2020-12-15,Delhi,20.5,30.06,28.72,31.0
2020-12-16,Delhi,28.65,29.23,34.75,43.0
2020-12-17,Delhi,9.29,19.88,38.44,14.0
2020-12-18,Delhi,28.33,16.7,33.46,42.0
2020-12-19,Delhi,41.12,56.14,37.25,62.0
2020-12-20,Delhi,24.45,28.77,33.17,37.0
2020-12-21,Delhi,12.79,45.9,27.92,19.0
2020-12-22,Delhi,5.0,46.23,23.44,8.0
2020-12-23,Delhi,18.54,41.5,27.83,28.0
2020-12-24,Delhi,5.0,35.47,32.28,8.0
2020-12-25,Delhi,23.09,21.69,32.21,35.0
2020-12-26,Delhi,24.47,46.54,35.53,37.0
2020-12-27,Delhi,5.0,29.9,22.79,8.0
2020-12-28,Delhi,5.0,10.0,32.24,8.0
2020-12-29,Delhi,44.21,28.62,32.45,66.0
2020-12-30,Delhi,5.0,56.47,29.14,8.0
2020-12-31,Delhi,26.13,40.58,43.73,39.0
2021-01-01,Delhi,28.42,10.0,34.42,43.0
2021-01-02,Delhi,24.58,51.15,43.56,37.0
2021-01-03,Delhi,8.57,39.13,33.48,13.0
2021-01-04,Delhi,5.76,29.54,45.62,9.0
2021-01-05,Delhi,36.05,27.73,27.37,54.0
2021-01-06,Delhi,20.62,19.58,27.08,31.0
2021-01-07,Delhi,6.45,29.31,33.26,10.0
2021-01-08,Delhi,10.21,48.81,38.06,15.0
2021-01-09,Delhi,7.45,10.29,31.03,11.0
2021-01-10,Delhi,22.63,45.64,34.5,34.0
2021-01-11,Delhi,24.96,31.08,23.6,37.0
2021-01-12,Delhi,5.24,50.36,22.26,8.0
2021-01-13,Delhi,21.35,28.38,30.77,32.0
2021-01-14,Delhi,42.48,32.64,31.67,64.0
2021-01-15,Delhi,27.08,58.58,34.34,41.0
2021-01-16,Delhi,19.76,54.12,31.34,30.0
2021-01-17,Delhi,5.0,33.11,42.38,8.0
2021-01-18,Delhi,29.45,60.74,33.32,44.0
2021-01-19,Delhi,23.47,47.51,37.11,35.0
2021-01-20,Delhi,5.0,37.78,33.87,8.0
2021-01-21,Delhi,11.8,21.06,35.13,18.0
2021-01-22,Delhi,18.28,11.17,39.95,27.0
2021-01-23,Delhi,23.98,56.52,38.11,36.0
2021-01-24,Delhi,8.95,55.06,29.59,13.0
2021-01-25,Delhi,15.87,33.02,30.87,24.0
2021-01-26,Delhi,23.38,23.62,38.93,35.0
2021-01-27,Delhi,38.6,29.09,34.16,58.0
2021-01-28,Delhi,17.3,26.08,38.5,26.0
2021-01-29,Delhi,24.08,61.91,32.96,36.0
2021-01-30,Delhi,5.0,36.16,29.25,8.0
2021-01-31,Delhi,16.81,10.87,30.39,25.0
2021-02-01,Delhi,27.2,18.13,29.61,41.0
2021-02-02,Delhi,10.3,38.39,30.61,15.0
2021-02-03,Delhi,22.34,10.0,40.02,34.0
2021-02-04,Delhi,13.54,52.75,34.8,20.0
2021-02-05,Delhi,20.19,42.6,33.68,30.0
2021-02-06,Delhi,25.52,49.8,30.59,38.0
2021-02-07,Delhi,15.05,36.15,34.5,23.0
2021-02-08,Delhi,26.85,15.01,29.1,40.0
2021-02-09,Delhi,22.87,29.43,31.51,34.0
2021-02-10,Delhi,5.84,10.0,30.06,9.0
2021-02-11,Delhi,14.86,26.12,30.78,22.0
2021-02-12,Delhi,26.93,14.8,31.39,40.0
2021-02-13,Delhi,18.39,26.28,32.19,28.0
2021-02-14,Delhi,13.54,27.8,24.99,20.0
2021-02-15,Delhi,5.0,44.93,34.17,8.0
2021-02-16,Delhi,8.9,22.72,32.15,13.0
2021-02-17,Delhi,6.73,23.63,36.02,10.0
2021-02-18,Delhi,19.54,10.0,36.63,29.0
2021-02-19,Delhi,13.06,34.55,36.05,20.0
2021-02-20,Delhi,7.46,10.0,28.58,11.0
2021-02-21,Delhi,20.57,27.58,29.25,31.0
2021-02-22,Delhi,5.0,64.52,34.47,8.0
2021-02-23,Delhi,16.73,14.36,28.62,25.0
2021-02-24,Delhi,5.0,23.2,28.01,8.0
2021-02-25,Delhi,5.0,16.11,25.48,8.0
2021-02-26,Delhi,5.0,43.77,30.73,8.0
2021-02-27,Delhi,8.8,22.17,23.39,13.0
2021-02-28,Delhi,9.81,10.0,38.22,15.0
2021-03-01,Delhi,10.69,19.79,28.48,16.0
2021-03-02,Delhi,19.23,24.32,37.12,29.0
2021-03-03,Delhi,20.57,58.57,41.02,31.0
2021-03-04,Delhi,23.68,55.15,29.68,36.0
2021-03-05,Delhi,14.91,37.54,36.07,22.0
2021-03-06,Delhi,5.0,56.55,29.53,8.0
2021-03-07,Delhi,7.75,41.19,30.26,12.0
2021-03-08,Delhi,8.01,10.0,17.44,12.0
2021-03-09,Delhi,5.0,15.07,34.12,8.0
2021-03-10,Delhi,7.22,10.0,27.85,11.0
2021-03-11,Delhi,23.23,10.0,33.25,35.0
2021-03-12,Delhi,22.53,10.54,35.34,34.0
2021-03-13,Delhi,5.0,10.0,25.92,8.0
2021-03-14,Delhi,17.2,30.89,34.52,26.0
2021-03-15,Delhi,18.12,25.66,31.22,27.0
2021-03-16,Delhi,24.98,10.0,33.0,37.0
2021-03-17,Delhi,6.83,13.42,25.41,10.0
2021-03-18,Delhi,27.29,17.13,35.57,41.0
2021-03-19,Delhi,18.51,30.72,36.13,28.0
2021-03-20,Delhi,5.0,12.35,25.7,8.0
2021-03-21,Delhi,5.0,10.0,20.81,8.0
2021-03-22,Delhi,5.0,10.0,29.28,8.0
2021-03-23,Delhi,16.89,10.0,32.14,25.0
2021-03-24,Delhi,5.0,33.81,28.09,8.0
2021-03-25,Delhi,5.0,10.0,35.48,8.0
2021-03-26,Delhi,5.0,18.33,24.1,8.0
2021-03-27,Delhi,5.0,10.0,29.99,8.0
2021-03-28,Delhi,5.0,16.33,31.33,8.0
2021-03-29,Delhi,5.0,10.0,26.75,8.0
2021-03-30,Delhi,6.81,10.0,26.14,10.0
2021-03-31,Delhi,9.87,23.94,25.79,15.0
2021-04-01,Delhi,5.0,10.0,32.45,8.0
2021-04-02,Delhi,5.0,10.0,31.62,8.0
2021-04-03,Delhi,5.0,10.0,30.38,8.0
2021-04-04,Delhi,5.0,32.57,21.63,8.0
2021-04-05,Delhi,5.0,10.0,32.67,8.0
2021-04-06,Delhi,5.0,10.98,33.39,8.0
2021-04-07,Delhi,5.0,10.0,32.97,8.0
2021-04-08,Delhi,7.04,10.0,33.04,11.0
2021-04-09,Delhi,5.0,10.0,33.56,8.0
2021-04-10,Delhi,9.26,23.76,27.09,14.0
2021-04-11,Delhi,6.95,10.0,20.85,10.0
2021-04-12,Delhi,5.73,10.0,22.59,9.0
2021-04-13,Delhi,5.0,10.0,30.94,8.0
2021-04-14,Delhi,5.0,10.0,27.28,8.0
2021-04-15,Delhi,5.0,10.0,18.25,8.0
2021-04-16,Delhi,5.0,14.73,28.1,8.0
2021-04-17,Delhi,5.0,10.0,29.5,8.0
2021-04-18,Delhi,5.0,10.0,17.33,8.0
2021-04-19,Delhi,5.0,10.0,23.28,8.0
2021-04-20,Delhi,5.0,10.0,26.24,8.0
2021-04-21,Delhi,5.0,10.0,29.95,8.0
2021-04-22,Delhi,5.0,10.0,32.96,8.0
2021-04-23,Delhi,5.0,10.0,23.9,8.0
2021-04-24,Delhi,5.0,10.0,18.27,8.0
2021-04-25,Delhi,5.0,19.04,27.84,8.0
2021-04-26,Delhi,5.0,10.0,22.14,8.0
2021-04-27,Delhi,5.0,10.0,31.18,8.0
2021-04-28,Delhi,5.0,10.0,23.66,8.0
2021-04-29,Delhi,5.0,10.0,18.68,8.0
2021-04-30,Delhi,5.0,10.0,20.72,8.0
2021-05-01,Delhi,5.0,10.0,35.85,8.0
2021-05-02,Delhi,5.0,15.64,25.86,8.0
2021-05-03,Delhi,5.0,10.0,26.64,8.0
2021-05-04,Delhi,5.0,10.0,25.07,8.0
2021-05-05,Delhi,5.0,10.0,22.78,8.0
2021-05-06,Delhi,5.0,10.0,20.81,8.0
2021-05-07,Delhi,5.0,10.0,25.36,8.0
2021-05-08,Delhi,5.0,10.0,19.4,8.0
2021-05-09,Delhi,5.0,10.0,18.77,8.0
2021-05-10,Delhi,5.0,10.0,21.89,8.0
2021-05-11,Delhi,5.0,10.0,30.2,8.0
2021-05-12,Delhi,5.0,10.0,24.27,8.0
